,2GO,8990P,AAA,AB,ABA,ABG,ABS,ABSP,AC,ACE,ACEN,ACEX,ACPA,ACPB1,ACR,AEV,AGI,ALCO,ALCPB,ALHI,ALI,ALL,ALLHC,ALLS,ANI,ANS,AP,APB2R,APC,APL,APO,APVI,APX,AR,ARA,AREIT,AT,ATI,ATN,ATNB,AUB,AXLM,BC,BCB,BCOR,BDO,BEL,BH,BHI,BKR,BLFI,BLOOM,BMM,BPI,BRN,BSC,C,CA,CAB,CAT,CDC,CEB,CEI,CEU,CHI,CHIB,CHP,CIC,CIP,CLI,CNPF,CNVRG,COAL,COL,COSCO,CPG,CPGP,CPM,CPV,CPVB,CROWN,CSB,CYBR,DAVIN,DD,DDPR,DELM,DFNN,DITO,DIZ,DMC,DMPA1,DMPA2,DMW,DNA,DNL,DWC,EAGLE,ECP,EEI,EG,EIBA,EIBB,ELI,EMP,EURO,EVER,EW,FAF,FB,FBP,FBP2,FDC,FERRO,FEU,FFI,FGEN,FGENG,FIN,FINA,FJP,FJPB,FLI,FMETF,FNI,FOOD,FPH,FPHPC,FPI,FRUIT,GEO,GERI,GLO,GLOPP,GMA7,GMAP,GPH,GREEN,GSMI,GTCAP,GTPPA,GTPPB,HDG,HI,HLCM,HOLD,HOME,HOUSE,HVN,I,ICT,IDC,IMI,IMP,IND,INDU,ION,IPM,IPO,IRC,IS,JAS,JFC,JGS,JOH,KEP,KPH,KPHB,KPPI,LAND,LBC,LC,LCB,LFM,LIHC,LMG,LODE,LOTO,LPZ,LR,LRP,LRW,LSC,LTG,M-O,MA,MAB,MAC,MACAY,MAH,MAHB,MARC,MAXS,MB,MBC,MBT,MED,MEG,MER,MFC,MFIN,MG,MHC,MINI,MJC,MJIC,MM,MPI,MRC,MRSGI,MVC,MWC,MWIDE,MWP,NI,NIKL,NOW,NRCP,OM,OPM,OPMB,ORE,OV,PA,PAL,PAX,PBB,PBC,PCOR,PCP,PERC,PGOLD,PHA,PHES,PHN,PHR,PIP,PIZZA,PLC,PMPC,PNB,PNC,PNX,PNX3A,PNX3B,PNX4,PORT,PPC,PRC,PRF2A,PRF2B,PRF3A,PRF3B,PRIM,PRMX,PRO,PROP,PSB,PSE,PSEI,PTC,PTT,PX,PXP,RCB,RCI,REG,RFM,RLC,RLT,ROCK,ROX,RRHI,SBS,SCC,SECB,SERV,SEVN,SFI,SFIP,SGI,SGP,SHLPH,SHNG,SLF,SLI,SM,SMC,SMC2A,SMC2B,SMC2C,SMC2D,SMC2E,SMC2F,SMC2G,SMC2H,SMC2I,SMCP1,SMPH,SOC,SPC,SPM,SSI,SSP,STI,STN,STR,SUN,SVC,T,TBGI,TECB2,TECH,TEL,TFC,TFHI,TUGS,UBP,UNI,UPM,URC,V,VITA,VLL,VMC,VUL,VVT,WEB,WIN,WLCON,WPI,X,ZHI
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021933421052631574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008359730663964649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022376315789473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008280128760553891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022289473684210526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008359730663964649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008280128760553891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021933421052631574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000851893447078617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021933421052631574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008359730663964649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02140368421052631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021224210526315786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021137368421052627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
