,close
1985-01-02,100.0
1985-01-03,99.01
1985-01-04,98.92
1985-01-07,96.99
1985-01-08,97.38
1985-01-09,95.93
1985-01-10,96.11
1985-01-11,96.19
1985-01-14,95.8
1985-01-15,95.41
1985-01-16,96.2
1985-01-17,96.55
1985-01-18,97.62
1985-01-21,99.08
1985-01-22,99.04
1985-01-23,99.94
1985-01-24,99.7
1985-01-25,99.5
1985-01-28,99.5
1985-01-29,99.77
1985-01-30,100.77
1985-01-31,100.57
1985-02-01,100.18
1985-02-04,100.61
1985-02-05,100.61
1985-02-06,102.99
1985-02-07,105.36
1985-02-08,104.81
1985-02-11,104.81
1985-02-12,104.51
1985-02-13,104.67
1985-02-14,103.86
1985-02-15,103.34
1985-02-18,103.34
1985-02-19,103.27
1985-02-20,103.27
1985-02-21,103.15
1985-02-22,103.3
1985-02-25,102.96
1985-02-26,101.24
1985-02-27,101.36
1985-02-28,101.42
1985-03-01,101.09
1985-03-04,100.77
1985-03-05,101.86
1985-03-06,101.8
1985-03-07,101.77
1985-03-08,102.97
1985-03-11,102.15
1985-03-12,103.33
1985-03-13,103.95
1985-03-14,104.3
1985-03-15,104.91
1985-03-18,105.08
1985-03-19,105.38
1985-03-20,106.83
1985-03-21,106.26
1985-03-22,106.55
1985-03-25,106.0
1985-03-26,105.76
1985-03-27,105.81
1985-03-28,106.25
1985-03-29,106.7
1985-04-01,106.41
1985-04-02,105.96
1985-04-03,107.08
1985-04-08,107.06
1985-04-09,107.15
1985-04-10,106.74
1985-04-11,106.85
1985-04-12,107.5
1985-04-15,107.51
1985-04-16,107.52
1985-04-17,107.65
1985-04-18,107.07
1985-04-19,107.63
1985-04-22,107.52
1985-04-23,106.96
1985-04-24,106.79
1985-04-25,106.95
1985-04-26,106.95
1985-04-29,105.22
1985-04-30,106.28
1985-05-02,105.73
1985-05-03,105.8
1985-05-07,106.51
1985-05-08,106.82
1985-05-09,106.81
1985-05-10,106.49
1985-05-13,106.49
1985-05-14,106.93
1985-05-15,107.23
1985-05-16,107.09
1985-05-17,107.15
1985-05-20,107.8
1985-05-21,108.72
1985-05-22,109.5
1985-05-23,110.16
1985-05-24,110.82
1985-05-27,111.06
1985-05-28,112.61
1985-05-29,112.14
1985-05-30,111.96
1985-05-31,112.47
1985-06-03,112.09
1985-06-04,111.98
1985-06-05,113.6
1985-06-06,115.25
1985-06-07,113.41
1985-06-10,114.4
1985-06-11,114.5
1985-06-13,114.29
1985-06-14,112.94
1985-06-17,113.18
1985-06-18,113.22
1985-06-19,113.11
1985-06-20,111.11
1985-06-21,111.0
1985-06-25,111.19
1985-06-26,112.16
1985-06-27,111.3
1985-07-01,112.38
1985-07-02,111.87
1985-07-03,111.28
1985-07-05,112.45
1985-07-08,111.62
1985-07-09,111.27
1985-07-10,111.93
1985-07-11,111.89
1985-07-12,111.06
1985-07-15,110.07
1985-07-16,110.11
1985-07-17,110.82
1985-07-18,111.05
1985-07-19,111.71
1985-07-22,111.93
1985-07-23,111.29
1985-07-24,111.38
1985-07-25,112.75
1985-07-26,112.19
1985-07-29,112.24
1985-07-30,112.81
1985-07-31,112.83
1985-08-01,112.45
1985-08-02,111.63
1985-08-05,111.89
1985-08-06,112.38
1985-08-07,112.38
1985-08-08,112.25
1985-08-09,113.72
1985-08-12,112.69
1985-08-13,112.39
1985-08-14,111.56
1985-08-15,111.64
1985-08-16,112.02
1985-08-19,111.94
1985-08-20,112.06
1985-08-21,110.05
1985-08-22,111.68
1985-08-23,111.46
1985-08-26,111.68
1985-08-27,111.62
1985-08-28,112.84
1985-08-29,115.29
1985-08-30,116.31
1985-09-02,115.86
1985-09-03,116.96
1985-09-04,116.74
1985-09-05,117.14
1985-09-06,118.44
1985-09-09,120.56
1985-09-10,121.86
1985-09-11,123.22
1985-09-12,125.0
1985-09-13,125.11
1985-09-16,123.41
1985-09-17,121.95
1985-09-18,122.39
1985-09-19,121.28
1985-09-20,121.16
1985-09-23,120.98
1985-09-24,121.03
1985-09-25,121.98
1985-09-26,123.41
1985-09-27,124.07
1985-09-30,123.59
1985-10-01,123.42
1985-10-02,123.13
1985-10-03,124.08
1985-10-04,125.45
1985-10-07,124.82
1985-10-08,124.42
1985-10-09,124.73
1985-10-10,125.79
1985-10-11,125.94
1985-10-14,125.99
1985-10-15,127.89
1985-10-16,127.83
1985-10-17,128.99
1985-10-21,129.37
1985-10-22,129.0
1985-10-23,129.46
1985-10-24,129.7
1985-10-25,130.29
1985-10-28,129.6
1985-10-29,128.33
1985-10-30,128.15
1985-10-31,129.06
1985-11-04,128.46
1985-11-05,130.1
1985-11-06,129.75
1985-11-07,129.71
1985-11-08,130.21
1985-11-11,129.6
1985-11-12,128.95
1985-11-13,129.32
1985-11-14,129.8
1985-11-15,129.59
1985-11-18,129.8
1985-11-19,128.93
1985-11-20,128.68
1985-11-21,128.18
1985-11-22,128.16
1985-11-25,125.91
1985-11-26,126.5
1985-11-27,126.43
1985-11-28,126.53
1985-11-29,126.33
1985-12-02,126.22
1985-12-03,126.29
1985-12-04,126.28
1985-12-05,126.23
1985-12-06,126.32
1985-12-09,126.33
1985-12-10,125.93
1985-12-11,126.35
1985-12-12,127.68
1985-12-13,128.42
1985-12-16,127.74
1985-12-17,128.53
1985-12-18,129.15
1985-12-19,129.64
1985-12-20,129.16
1985-12-23,129.12
1985-12-24,129.45
1985-12-26,129.77
1985-12-27,131.19
1986-01-02,131.32
1986-01-03,131.78
1986-01-06,130.78
1986-01-07,132.13
1986-01-08,132.07
1986-01-09,133.06
1986-01-10,133.93
1986-01-13,134.67
1986-01-14,134.28
1986-01-15,134.02
1986-01-16,133.69
1986-01-17,133.9
1986-01-20,134.02
1986-01-21,134.34
1986-01-22,134.21
1986-01-23,134.08
1986-01-24,135.79
1986-01-27,134.98
1986-01-28,134.27
1986-01-29,134.0
1986-01-30,134.07
1986-01-31,133.19
1986-02-03,133.11
1986-02-04,132.26
1986-02-05,132.22
1986-02-10,130.5
1986-02-11,130.91
1986-02-12,131.02
1986-02-13,131.4
1986-02-14,131.18
1986-02-17,130.11
