symbol,date,drop,ratio
AAA,2006-09-06,-0.3425,1.5208
AAA,2006-10-04,-0.3333,1.5
AAA,2007-08-03,-0.35,1.5385
AAA,2007-08-10,-0.3902,1.64
AAA,2007-10-25,-0.3971,1.6585
AAA,2009-11-19,-0.3729,1.5946
AAA,2010-03-17,-0.3673,1.5806
AAA,2010-08-11,-0.49,1.9608
AAA,2010-12-22,-0.5,2.0
AAA,2011-01-12,-0.3333,1.5
AAA,2011-02-17,-0.4933,1.9737
AAA,2011-10-06,-0.4818,1.9298
AB,2006-12-18,-0.375,1.6
AB,2007-08-13,-0.3763,1.6034
AB,2008-03-17,-0.3929,1.6471
AB,2008-07-03,-0.4,1.6667
AB,2009-05-28,-0.3905,1.6406
ABA,1998-01-07,-0.3673,1.5806
ABA,1998-01-15,-0.375,1.6
ABA,1998-07-07,-0.3846,1.625
ABA,1998-07-15,-0.3953,1.6538
ABA,2006-10-16,-0.9888,88.8933
ABA,2009-02-10,-0.3334,1.5002
AC,1986-01-08,-0.4213,1.728
ACEX,2015-08-17,-0.5,2.0
ACEX,2015-08-18,-0.3541,1.5483
ACR,1998-09-23,-0.3333,1.5
ACR,2000-12-06,-0.3396,1.5143
ACR,2001-02-01,-0.3864,1.6296
ACR,2002-07-24,-0.3846,1.625
ACR,2004-06-30,-0.4,1.6667
AGI,2006-05-05,-0.4348,1.7692
AGI,2007-02-12,-0.4646,1.8679
ALHI,2009-02-06,-0.35,1.5384
ALHI,2017-12-20,-0.4755,1.9065
ALLHC,1993-10-29,-0.3548,1.55
ALLHC,2002-12-13,-0.86,7.1429
ALLHC,2003-09-10,-0.9,10.0
ALLHC,2003-10-02,-0.8966,9.6667
ANI,2020-02-06,-0.376,1.6027
ANS,2006-05-02,-0.3436,1.5235
APC,1994-08-26,-0.3462,1.5294
APC,2002-09-05,-0.4,1.6667
APC,2004-04-21,-0.3333,1.5
APO,2002-12-20,-0.36,1.5625
APO,2005-04-26,-0.3571,1.5556
APX,1990-11-26,-0.4118,1.7
APX,1990-12-10,-0.3333,1.5
APX,1998-07-28,-0.4211,1.7273
APX,1998-08-05,-0.3636,1.5714
APX,1998-12-17,-0.4091,1.6923
APX,1999-06-09,-0.3333,1.5
APX,2002-01-09,-0.3974,1.6596
APX,2002-04-29,-0.3636,1.5714
APX,2002-07-02,-0.4,1.6667
APX,2002-11-14,-0.3333,1.5
APX,2002-12-10,-0.9733,37.5
APX,2002-12-20,-0.381,1.6154
APX,2004-02-19,-0.3333,1.5
APX,2004-07-02,-0.35,1.5385
APX,2013-06-21,-0.4722,1.8947
APX,2013-10-29,-0.3667,1.5789
AR,2001-10-03,-0.4118,1.7
AR,2003-03-17,-0.8,5.0
ARA,1992-01-16,-0.6252,2.668
ARA,1993-04-05,-0.3825,1.6195
ARA,1993-07-20,-0.99,99.8764
ARA,1994-09-28,-0.3333,1.5
ARA,1994-11-18,-0.6,2.5
ARA,1994-12-14,-0.9875,80.0
ARA,1998-01-08,-0.3947,1.6522
ARA,1998-06-17,-0.4,1.6667
ARA,1998-09-22,-0.4,1.6667
ARA,2004-04-12,-0.375,1.6
ARA,2005-03-07,-0.3922,1.6452
ARA,2008-10-07,-0.3421,1.52
AT,1997-09-17,-0.9999,7991.9512
AT,1997-12-08,-0.4,1.6667
AT,2000-07-31,-0.3923,1.6456
AT,2001-05-15,-0.4444,1.8
AT,2002-06-11,-0.34,1.5152
ATN,1987-11-19,-0.3333,1.5
ATN,1994-04-27,-0.4,1.6667
ATN,2005-12-06,-0.3333,1.5
ATNB,2007-10-22,-0.3969,1.6582
ATNB,2020-03-19,-0.4923,1.9697
BC,1997-06-25,-0.3954,1.6539
BC,1997-08-08,-0.3334,1.5
BC,1997-09-17,-0.3334,1.5
BC,1997-10-02,-0.4,1.6666
BC,1998-08-21,-0.3333,1.4999
BC,1999-08-05,-0.3978,1.6605
BC,1999-11-05,-0.375,1.6
BC,2000-06-28,-0.4,1.6667
BC,2000-07-06,-0.3333,1.5
BC,2002-05-08,-0.4001,1.667
BC,2002-11-05,-0.4,1.6667
BC,2004-08-31,-0.3848,1.6254
BC,2005-04-20,-0.407,1.6863
BC,2015-12-14,-0.3636,1.5714
BCB,2008-07-01,-0.4,1.6667
BCB,2008-08-19,-0.337,1.5082
BCB,2008-11-19,-0.35,1.5384
BCB,2009-03-26,-0.3333,1.5
BCB,2009-05-12,-0.4,1.6667
