strategy,CAGR,AnnVol,Sharpe0,MaxDD,Years,trades,time_in_mkt,dca_winrate,median_ratio
B&H PSEi 1985-2021,0.12326058785325755,0.29169152747844546,0.5410290312170143,-0.7097088967772063,36.16153319644079,,,,
B&H PSEi 1990-2021,0.06145688548191042,0.2631512900341033,0.35758701608189586,-0.7097088967772063,31.16221765913758,,,,
B&H PSEi 2000-2021,0.05926561114184059,0.20046157733476735,0.38968880168757186,-0.5144707193725941,21.163586584531142,,,,
B&H PSEi 2010-2021,0.07656273004797876,0.16321911674089415,0.536100167235999,-0.39283159193109096,11.162217659137577,,,,
B&H PSEi 2013-2021,0.009224442267416366,0.15933185572799335,0.13959001990961287,-0.39283159193109096,8.161533196440795,,,,
"SMA10 PSEi (hist costs, cash 0%)",0.12253805587484079,0.22988222196042257,0.6109872656523704,-0.5183903781011729,35.331964407939765,51.0,0.6470588235294118,,
"SMA10 PSEi (hist costs, cash 4%)",0.13824645785245315,0.22914545288143115,0.6736029896395969,-0.490365364667955,35.331964407939765,51.0,0.6470588235294118,,
"SMA10 PSEi (modern costs, cash 4%)",0.14229344654759957,0.2288948257689294,0.6897962740831005,-0.48263848009913,35.331964407939765,51.0,0.6470588235294118,,
B&H PSEi (SMA window),0.11908402097528992,0.29466986526078376,0.5256494900499334,-0.7097088967772063,35.331964407939765,,,,
DCA-vs-LS 5y,,,,,5.0,,,0.288,0.8001581000037827
DCA-vs-LS 10y,,,,,10.0,,,0.23492063492063492,0.6211097859238678
Momentum 12-1 top5,0.0279860492875188,0.2986168908205974,0.24151939834176228,-0.7544021927585601,26.16290212183436,,,,
Momentum 12-1 top10,0.04612925816974123,0.2623053384552653,0.3019403498981847,-0.7702466092395585,26.16290212183436,,,,
LowVol top10,0.032457895180370455,0.197821484200015,0.2622186220671522,-0.621400909732174,26.16290212183436,,,,
EW top10 liquid,0.042798862758655076,0.23723911166970996,0.2942590339818767,-0.6851271733400732,26.16290212183436,,,,
